segment,env_step,gradient_step,elapsed_s,eval_seconds,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
0,52200,2950,851.692,30.627,81.372345,69.378899,0.5061,0.020693,6.398064,6.398064,6.398064,6.398064,0.017939,0.001174,1.467484,8.373858,0.180031,-8.377855,1.0,0.968086,1.879579,1.139574,1.319605,0.180031,15360.0,3.605735,1.139236,1.786257,0.647021,1008.0,14869.802734,1024.0,1024.0,118.842773,52200,64.0,1999.3
0,53000,3000,865.534,30.627,79.918861,67.900406,0.507435,0.020819,6.519048,6.519048,6.519048,6.519048,0.01788,0.001458,1.43999,8.375257,0.176331,-8.393236,1.0,0.965898,1.810148,1.161959,1.33829,0.176331,15360.0,3.563689,1.161848,1.820666,0.658818,1008.0,14836.1875,1024.0,1024.0,111.590576,53000,64.0,1999.3
0,53800,3050,879.176,30.627,75.07077,62.93066,0.57111,0.020673,6.511314,6.511314,6.511314,6.511314,0.020063,0.001092,1.454732,8.377745,0.178168,-8.37262,1.0,0.968849,1.7547,1.183161,1.361329,0.178168,15360.0,3.92152,1.182837,1.972632,0.789794,1008.0,14881.520508,1024.0,1024.0,128.984665,53800,64.0,1999.3
0,54600,3100,893.021,30.627,79.09124,67.033691,0.52377,0.020949,6.767075,6.767075,6.767075,6.767075,0.014388,0.001661,1.398746,8.377844,0.171642,-8.402403,1.0,0.964025,1.640022,1.20317,1.374812,0.171642,15360.0,3.434263,1.203163,1.884701,0.681538,1008.0,14807.428711,1024.0,1024.0,167.980759,54600,64.0,1999.3
0,55400,3150,906.873,30.627,82.766434,70.703125,0.524721,0.020675,6.734924,6.734924,6.734924,6.734924,0.019685,0.00106,1.478043,8.379567,0.180952,-8.384158,1.0,0.969061,1.630393,1.222107,1.403058,0.180952,15360.0,3.336875,1.221692,1.89956,0.677867,1008.0,14884.775391,1024.0,1024.0,131.89241,55400,64.0,1999.3
0,56200,3200,920.631,30.627,77.991714,65.846382,0.511773,0.020698,6.777279,6.777279,6.777279,6.777279,0.017217,0.001141,1.455187,8.375969,0.17891,-8.351286,1.0,0.968466,1.683509,1.241984,1.420894,0.17891,15360.0,3.397211,1.241747,1.930377,0.68863,1008.0,14875.642578,1024.0,1024.0,75.269447,56200,64.0,1999.3
0,57000,3250,934.355,30.627,79.910156,67.469482,0.549698,0.020815,6.883554,6.883554,6.883554,6.883554,0.019257,0.001325,1.477469,8.370863,0.181157,-8.384198,1.0,0.967286,1.736617,1.262271,1.443429,0.181157,15360.0,3.613883,1.26175,2.008264,0.746513,1008.0,14857.509766,1024.0,1024.0,117.132385,57000,64.0,1999.3
0,57800,3300,948.084,30.627,71.193306,58.670277,0.5139,0.020567,6.872662,6.872662,6.872662,6.872662,0.018093,0.000719,1.542816,8.366915,0.188602,-8.381354,1.0,0.970562,1.798298,1.28472,1.473322,0.188602,15360.0,3.625057,1.284649,2.002311,0.717662,1008.0,14907.835938,1024.0,1024.0,112.128296,57800,64.0,1999.3
0,58600,3350,961.898,30.627,83.305069,70.771942,0.535735,0.020697,6.981555,6.981555,6.981555,6.981555,0.017693,0.001101,1.458049,8.365621,0.179271,-8.362289,1.0,0.968573,1.796049,1.307057,1.486328,0.179271,15360.0,3.476285,1.306473,1.985729,0.679256,1008.0,14877.275391,1024.0,1024.0,82.285378,58600,64.0,1999.3
0,59400,3400,975.628,30.627,80.555519,67.683502,0.542128,0.020716,7.050263,7.050263,7.050263,7.050263,0.019663,0.001093,1.535664,8.353042,0.188688,-8.359348,1.0,0.967898,1.834837,1.330459,1.519147,0.188688,15360.0,3.944623,1.329901,2.122128,0.792227,1008.0,14866.914062,1024.0,1024.0,118.991371,59400,64.0,1999.3
0,60200,3450,989.426,30.627,74.294319,61.896908,0.482035,0.020577,6.845817,6.845817,6.845817,6.845817,0.015538,0.000735,1.487416,8.342329,0.182632,-8.340998,1.0,0.970951,1.82753,1.354298,1.53693,0.182632,15360.0,3.498172,1.352846,2.00948,0.656634,1008.0,14913.806641,1024.0,1024.0,85.06147,60200,64.0,1999.3
0,61000,3500,1003.148,30.627,74.95388,62.371582,0.486293,0.020689,7.092974,7.092974,7.092974,7.092974,0.012644,0.001024,1.416816,8.340045,0.174487,-8.336105,1.0,0.968305,1.802375,1.378086,1.552573,0.174487,15360.0,3.512855,1.377825,2.03625,0.658425,1008.0,14873.15918,1024.0,1024.0,85.751839,61000,64.0,1999.3
