env_step,gradient_step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
51400,2900,1021.319,12.821903,6.72291,0.789458,0.020661,1.629395,1.629395,1.552631,1.552631,0.049312,0.000941,0.355466,1.380303,0.262961,-1.381403,1.0,0.969737,1.890293,1.595185,1.858146,0.262961,15360.0,4.169276,1.595155,2.824755,1.2296,1008.0,14895.160156,1024.0,1024.0,22.284163,51400,64.0,1997.2
52200,2950,1038.241,13.901365,7.621799,0.913625,0.020684,1.690879,1.690879,1.627632,1.627632,0.065269,0.001038,0.357167,1.377839,0.264473,-1.38654,1.0,0.968793,1.878102,1.6289,1.893372,0.264473,15360.0,4.166732,1.628876,3.006334,1.377458,1008.0,14880.660156,1024.0,1024.0,23.231998,52200,64.0,1997.2
53000,3000,1054.961,12.154831,6.345308,0.675484,0.020579,1.573508,1.573508,1.525869,1.525869,0.044708,0.000755,0.342917,1.380146,0.256381,-1.368583,1.0,0.971422,1.907829,1.662398,1.91878,0.256381,15360.0,3.772849,1.662361,2.683177,1.020816,1008.0,14921.046875,1024.0,1024.0,16.793129,53000,64.0,1997.2
53800,3050,1071.596,13.756348,7.517072,0.665927,0.020594,1.784312,1.784312,1.756334,1.756334,0.038137,0.00078,0.358236,1.382846,0.265591,-1.385085,1.0,0.9705,1.983419,1.698475,1.964065,0.265591,15360.0,4.161192,1.698485,2.802926,1.104441,1008.0,14906.886719,1024.0,1024.0,20.85177,53800,64.0,1997.2
54600,3100,1088.664,15.31449,8.920216,0.700336,0.020597,1.825166,1.825166,1.775086,1.775086,0.045564,0.000793,0.375369,1.381321,0.277853,-1.381521,1.0,0.971641,2.063306,1.736344,2.014197,0.277853,15360.0,4.089943,1.736208,2.855268,1.11906,1008.0,14924.411133,1024.0,1024.0,38.863903,54600,64.0,1997.2
55400,3150,1105.794,12.646841,5.992797,0.898378,0.020664,1.751632,1.751632,1.681406,1.681406,0.063936,0.000924,0.366215,1.384178,0.271435,-1.378769,1.0,0.970872,2.07385,1.775918,2.047354,0.271435,15360.0,4.560469,1.775828,3.28618,1.510352,1008.0,14912.59375,1024.0,1024.0,19.751778,55400,64.0,1997.2
56200,3200,1122.912,14.590883,8.550612,0.654911,0.020642,1.604403,1.604403,1.513315,1.513315,0.037676,0.000922,0.3505,1.383808,0.258819,-1.383731,1.0,0.970561,2.043635,1.814519,2.073339,0.258819,15360.0,4.019133,1.814317,2.890182,1.075865,1008.0,14907.80957,1024.0,1024.0,21.054077,56200,64.0,1997.2
57000,3250,1139.996,13.348772,7.171615,0.722796,0.020627,1.734318,1.734318,1.65996,1.65996,0.052311,0.00087,0.347407,1.386341,0.256307,-1.387135,1.0,0.970692,2.02213,1.85189,2.108197,0.256307,15360.0,3.854829,1.851817,2.965753,1.113936,1008.0,14909.834961,1024.0,1024.0,21.595751,57000,64.0,1997.2
57800,3300,1156.809,15.635087,9.713089,0.589701,0.020633,1.675387,1.675387,1.619871,1.619871,0.035086,0.000907,0.344229,1.385124,0.254638,-1.380618,1.0,0.970626,1.985945,1.888374,2.143013,0.254638,15360.0,3.795212,1.888248,2.871474,0.983226,1008.0,14908.821289,1024.0,1024.0,25.494497,57800,64.0,1997.2
58600,3350,1173.863,13.780513,8.01449,0.551399,0.020565,1.685809,1.685809,1.625727,1.625727,0.03255,0.000714,0.346213,1.384859,0.255529,-1.38546,1.0,0.971813,1.944473,1.924605,2.180135,0.255529,15360.0,3.496607,1.924572,2.787051,0.862479,1008.0,14927.041016,1024.0,1024.0,28.095928,58600,64.0,1997.2
