step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,post_entropy,prior_entropy,reward_mae,cont_mae,grad_norm
2875,625.958,65.854172,59.287308,0.497369,0.020878,5.498746,5.498746,5.498746,5.498746,30.093157,36.238564,0.012756,0.001706,91.286255
2900,631.328,66.302162,59.960758,0.467736,0.020852,5.320743,5.320743,5.320743,5.320743,30.093801,35.888268,0.012163,0.001638,100.655548
2925,636.695,73.768143,67.104065,0.499483,0.021125,5.584975,5.584975,5.584975,5.584975,30.007427,36.060104,0.01582,0.002123,72.893982
2950,642.157,69.106194,62.384739,0.458307,0.020859,5.674811,5.674811,5.674811,5.674811,29.972504,36.037205,0.01083,0.001623,165.961746
2975,647.526,64.689468,58.0555,0.474561,0.020851,5.580507,5.580507,5.580507,5.580507,29.958645,36.112282,0.012394,0.001659,138.745895
3000,652.899,72.120049,65.455978,0.527079,0.021266,5.559751,5.559751,5.559751,5.559751,29.969374,36.036491,0.016956,0.002278,102.177803
3025,658.442,67.658005,60.827782,0.472958,0.020888,5.76034,5.76034,5.76034,5.76034,29.916386,36.043091,0.011283,0.001578,136.243347
3050,663.906,66.718834,59.993343,0.506308,0.020905,5.634797,5.634797,5.634797,5.634797,29.611364,35.862301,0.015272,0.001665,121.577515
3075,669.304,67.768555,61.095421,0.473149,0.020732,5.617501,5.617501,5.617501,5.617501,30.067265,36.155041,0.011382,0.001284,126.004837
3100,674.76,65.711823,58.634789,0.492242,0.02072,5.96734,5.96734,5.96734,5.96734,29.963533,36.031517,0.01241,0.001261,152.988434
3125,680.151,69.358482,62.43037,0.495946,0.020821,5.828503,5.828503,5.828503,5.828503,29.988548,35.973969,0.01291,0.00141,122.15258
3150,685.529,68.585083,61.639606,0.474017,0.020832,5.864211,5.864211,5.864211,5.864211,30.060923,35.970337,0.011625,0.001507,86.17765
3175,690.895,66.837708,59.995724,0.482271,0.020806,5.762646,5.762646,5.762646,5.762646,29.935831,35.917191,0.013816,0.001492,93.990974
3200,696.257,63.136448,56.043228,0.494344,0.020764,5.980101,5.980101,5.980101,5.980101,29.773418,35.831017,0.014165,0.001317,118.913452
3225,701.719,68.014786,60.945801,0.488569,0.020656,5.963419,5.963419,5.963419,5.963419,29.893841,36.114792,0.013041,0.001068,107.974487
3250,707.091,64.585495,57.543205,0.47785,0.02074,5.948824,5.948824,5.948824,5.948824,29.843901,35.888802,0.013409,0.001187,154.466385
3275,712.468,63.503326,56.421799,0.471999,0.0207,5.989846,5.989846,5.989846,5.989846,29.646322,35.945068,0.011509,0.001097,77.794456
3300,717.942,65.272392,58.217686,0.494941,0.020745,5.944565,5.944565,5.944565,5.944565,29.665806,35.966759,0.013685,0.001252,171.749237
3325,723.322,64.879776,57.559277,0.471715,0.020619,6.20742,6.20742,6.20742,6.20742,29.803631,35.981735,0.012279,0.000984,132.248917
3350,728.698,61.257397,53.885902,0.509812,0.020614,6.219153,6.219153,6.219153,6.219153,29.349598,35.838272,0.015523,0.000904,133.806076
3375,734.068,70.276535,62.948521,0.553252,0.02092,6.139858,6.139858,6.139858,6.139858,29.588314,36.111279,0.017072,0.001456,129.781296
3400,739.522,66.317726,59.091717,0.468439,0.020728,6.124398,6.124398,6.124398,6.124398,29.857626,36.082306,0.012261,0.001217,91.836662
3425,744.913,62.282536,55.002758,0.455426,0.020577,6.18525,6.18525,6.18525,6.18525,29.485504,35.889984,0.011066,0.000779,179.844147
3450,750.301,64.505722,57.160637,0.477141,0.020632,6.224825,6.224825,6.224825,6.224825,29.806664,36.068226,0.011749,0.00091,160.002808
3475,755.687,60.323341,53.156425,0.478149,0.020645,6.061929,6.061929,6.061929,6.061929,29.329777,35.899166,0.011583,0.001012,116.684814
3500,761.148,64.339806,56.794765,0.505439,0.020692,6.380829,6.380829,6.380829,6.380829,29.718761,36.004936,0.015515,0.001038,157.841705
3525,766.514,64.033722,56.801003,0.460347,0.020747,6.13784,6.13784,6.13784,6.13784,29.57354,36.040627,0.011658,0.001089,102.57206
3550,771.881,62.561172,55.1791,0.44978,0.020568,6.283385,6.283385,6.283385,6.283385,29.527971,36.197838,0.009848,0.000757,124.458054
3575,777.325,62.994888,55.364632,0.497133,0.020624,6.465914,6.465914,6.465914,6.465914,29.701084,36.058834,0.013909,0.000891,184.574646
3600,782.708,64.878571,57.44202,0.469179,0.02089,6.314976,6.314976,6.314976,6.314976,29.544733,36.00259,0.013324,0.001234,188.63858
3625,788.089,65.899025,58.541481,0.455957,0.020649,6.255401,6.255401,6.255401,6.255401,29.679264,36.237064,0.010793,0.000925,123.681992
3650,793.465,68.396461,60.803207,0.471815,0.020699,6.45522,6.45522,6.45522,6.45522,29.622545,36.279205,0.011253,0.001012,120.424164
3675,798.926,60.771656,53.029053,0.453826,0.020594,6.607437,6.607437,6.607437,6.607437,29.356239,36.03223,0.011147,0.000745,109.105995
3700,804.31,62.571072,54.895775,0.458712,0.020674,6.541733,6.541733,6.541733,6.541733,29.828999,36.312759,0.011226,0.000897,120.322754
3725,809.696,63.900566,56.007008,0.472429,0.020568,6.727783,6.727783,6.727783,6.727783,29.695,36.244759,0.010576,0.000691,124.478661
3750,815.078,61.746384,53.988541,0.477681,0.020517,6.599677,6.599677,6.599677,6.599677,29.378674,35.849892,0.014121,0.00052,103.739525
3775,820.55,60.723389,52.959846,0.46964,0.020564,6.612125,6.612125,6.612125,6.612125,29.299191,35.996662,0.010884,0.000662,123.905228
3800,825.92,62.875557,55.239517,0.479516,0.020608,6.4872,6.4872,6.4872,6.4872,29.453648,36.062073,0.013219,0.00077,109.312019
3825,831.289,61.518196,53.955383,0.479751,0.020592,6.420427,6.420427,6.420427,6.420427,29.19569,35.869492,0.012089,0.000702,131.844574
3850,836.741,63.321236,55.557472,0.478603,0.020588,6.604158,6.604158,6.604158,6.604158,29.547493,35.992195,0.013114,0.000673,123.38961
3875,842.116,61.251007,53.47683,0.479269,0.020576,6.613031,6.613031,6.613031,6.613031,29.38155,36.018425,0.011849,0.000697,128.605286
3900,847.498,68.751747,60.946564,0.587746,0.020872,6.542333,6.542333,6.542333,6.542333,29.68704,36.224155,0.022228,0.001283,122.1633
3925,852.88,68.129471,60.3158,0.544622,0.020768,6.589346,6.589346,6.589346,6.589346,29.547468,36.097218,0.017414,0.001154,108.924789
3950,858.341,59.750443,51.904274,0.472484,0.020519,6.684698,6.684698,6.684698,6.684698,29.103745,36.165543,0.012228,0.000529,79.820633
3975,863.714,61.027794,53.124725,0.476344,0.02051,6.732922,6.732922,6.732922,6.732922,29.579031,36.175961,0.011234,0.000497,99.235374
4000,869.099,61.962406,54.06918,0.468957,0.020526,6.730676,6.730676,6.730676,6.730676,29.385197,36.223625,0.011196,0.000553,135.619919
4025,874.579,60.935867,52.910419,0.448917,0.020521,6.869101,6.869101,6.869101,6.869101,29.127838,36.270645,0.010373,0.000496,91.019951
4050,880.092,65.157074,57.175087,0.48228,0.020624,6.799166,6.799166,6.799166,6.799166,29.177347,36.156254,0.012482,0.000751,135.802444
4075,885.471,59.946503,52.086456,0.471608,0.020543,6.698089,6.698089,6.698089,6.698089,29.159767,36.016144,0.013029,0.000566,88.531975
4100,890.847,63.497929,55.413673,0.495653,0.020609,6.87999,6.87999,6.87999,6.87999,29.450502,36.384407,0.013244,0.000701,131.050522
4125,896.293,57.463249,49.460003,0.435737,0.020496,6.860921,6.860921,6.860921,6.860921,29.311468,36.360199,0.009118,0.00044,132.481262
4150,901.666,59.386871,51.211098,0.487902,0.0205,6.970337,6.970337,6.970337,6.970337,29.184475,36.373512,0.013043,0.000468,94.598259
4175,907.033,59.933556,51.701759,0.493497,0.020492,7.016189,7.016189,7.016189,7.016189,29.115778,36.249691,0.012942,0.000432,122.039917
4200,912.405,59.964344,51.81633,0.476743,0.020515,6.955236,6.955236,6.955236,6.955236,29.148262,36.296944,0.011054,0.000487,96.016823
4225,917.849,63.745098,55.521343,0.484405,0.020746,7.016915,7.016915,7.016915,7.016915,29.312618,36.369873,0.014732,0.00081,101.926102
4250,923.22,62.451672,54.328381,0.454099,0.020538,6.953321,6.953321,6.953321,6.953321,29.504116,36.304741,0.01177,0.000582,137.877686
4275,928.584,59.924988,51.700718,0.484315,0.020495,7.01769,7.01769,7.01769,7.01769,29.24198,36.218559,0.013026,0.000441,127.173775
4300,933.948,59.762936,51.203285,0.453691,0.020482,7.350438,7.350438,7.350438,7.350438,28.893738,36.321709,0.010088,0.000385,144.941528
4325,939.336,60.933609,52.600552,0.451349,0.020532,7.146527,7.146527,7.146527,7.146527,29.324608,36.449661,0.010224,0.000525,106.528503
4350,944.805,56.979218,48.69854,0.473071,0.020515,7.079172,7.079172,7.079172,7.079172,29.234055,36.287132,0.012854,0.000442,94.580399
4375,950.172,62.939999,54.376984,0.501658,0.020556,7.309817,7.309817,7.309817,7.309817,29.185776,36.308701,0.013827,0.000578,145.71756
